Number,How old are you?,Gender,Which country are you living in?,Do you regard yourself as an engineer?,What is your study/working field?,What is your current employment status?,What industry are you working in?,What university do you study at?,How many days per week did you do remote working *BEFORE* COVID-19 on average?,How many days per week did you do remote working *AFTER* COVID-19 on average?,"What is the biggest *advantage* of Remote Working for you? 
117,30,Female,Germany,FALSE,,Employed,Biosciences,,0,3,Comfortable working environment,Lack of human interaction,Working Environment,Flexible working time models,Impact,Both,9/10/20 13:48,36bx045hvmw1d1o6xvcqf36bx04555cf
118,32,Male,United Kingdom,TRUE,Chemical Engineering,Unemployed,,,0,7,Less money and time spent on traveling,No separation between work and home life,Working Environment,Amount of salary,"Additional services (Kindergarten, dogs at work)",Both,9/10/20 16:12,f4jcdjil5311rsdusif4jcdc7v18ogkt
119,24,Female,Malta,TRUE,Quality Engineering,Employed,Water production,,0,0,Comfortable working environment,No separation between work and home life,Working Environment,Reputation,Amount of salary,Office,9/10/20 18:02,cekiyxgn414a3fhry7cekiyxwjfgqc5q
120,26,Male,Germany,TRUE,Energy Engineering,Employed,Gas infrastructure,,0,5,Comfortable working environment,Lack of human interaction,Impact,Flexible working time models,Amount of salary,Both,9/10/20 18:24,102k5a0v9c49to2sp5cay102k5iin402
121,23,Male,Belgium,TRUE,Mechanical Engineering,Student,,KU Leuven,N/A,6,Flexible working hours,Lack of human interaction,Amount of salary,Reputation,Working Environment,Office,9/10/20 19:35,bet6y1ee550ihmdr64bet6y1eea447zj
122,24,Male,Germany,TRUE,Electrical Engineering,Student,,Hochschule Darmstadt,2,4,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,Amount of salary,Working Environment,Both,9/10/20 19:55,xcswcn1f26bc7gxc6fxbvhlbavap2sf6
123,21,Female,Malta,TRUE,Other,Employed,Marine,,N/A,3,Flexible working hours,No separation between work and home life,Working Environment,Possibility of remote working,Flexible working time models,Office,9/10/20 20:16,rmn24osmja2rveisw2rmn24vkz580mrm
124,26,Male,Croatia,TRUE,Automotive Engineering,Employed,Education,,0,3,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,9/10/20 20:30,hbvcmpse04gtnf0il8vhydohbvcmpsy7
125,28,Male,Norway,TRUE,Civil Engineering,Employed,Construction,,0,5,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,Amount of salary,Office,9/11/20 6:12,bj9e1dw6s5676lelq1tjbj9e1dwwt02g
126,35,Male,Norway,FALSE,,Employed,Agriculture,,0,0,Flexible working hours,No separation between work and home life,Flexible working time models,Flexible working time models,Possibility of remote working,Home,9/11/20 11:43,ge3rg51pvz8rf0emge3rg5k34ew4r7bg
127,28,Female,Other,FALSE,,Employed,Education,,1,6,Flexible working hours,Interruption at home,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Possibility of remote working,Home,9/11/20 11:47,d9izczfpmwz8s4yljd9izczyd0372r0d
128,40,Female,Other,FALSE,,sahp,,,0,5,Flexible working hours,Interruption at home,Flexible working time models,Amount of salary,"Additional services (Kindergarten, dogs at work)",Both,9/11/20 14:53,2kdtx9odeq7a9v2kdt3supgm2p821jq3
129,33,Female,Other,FALSE,,Employed,Education,,0,1,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Working Environment,Flexible working time models,Both,9/11/20 19:26,rpp9c8ewqh875rrpp9c1p5mpckgmu241
130,21,Male,Other,FALSE,,Student,,HELP University,N/A,N/A,Flexible working hours,Interruption at home,Flexible working time models,Working Environment,Amount of salary,Office,9/11/20 21:10,grvrp24kq2elcugry158jaj67kteoyeq
131,26,Female,Estonia,TRUE,Architectural Engineering,Employed,building construction design company,,0,0,Flexible working hours,No separation between work and home life,Amount of salary,Reputation,Working Environment,Both,9/12/20 6:05,srrmzd5a37vw9z2tqsrrmzd0nw7gjy9s
132,21,Female,Estonia,TRUE,Civil Engineering,Student,,TalTech,N/A,N/A,Flexible working hours,No separation between work and home life,Possibility of remote working,Flexible working time models,Amount of salary,Home,9/12/20 6:06,vphep98ih8u2enbxjxpvphe1v9t4srzh
133,20,Female,Estonia,TRUE,Environmental Engineering,Student,,TalTech,N/A,N/A,Flexible working hours,No separation between work and home life,Possibility of remote working,Amount of salary,Working Environment,Office,9/12/20 6:33,x2kes70acvgbalfql4fvsox2kes7091i
134,21,Male,Estonia,TRUE,Information and Technology,Student,,Tallinn University of Technology,N/A,N/A,Flexible working hours,Lack of human interaction,Working Environment,Impact,Amount of salary,Office,9/12/20 12:07,ebrqz2d5kl46b638fvouebrqz2ded15c
135,19,Male,Austria,TRUE,Electrical Engineering,Employed,Automation,,N/A,0,Work-life-balance,Bad technical conditions,Working Environment,Amount of salary,Impact,Both,9/12/20 16:08,9hh3qucsrhud1jxo9hh3qyyiggjgcxyy
136,20,Male,Malta,FALSE,,Student,,University of Malta,0,6,Flexible working hours,No separation between work and home life,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Possibility of remote working,Both,9/12/20 16:46,n838ts6zrb5mov33dc2fm3n838ts6zt8
137,25,Female,Lithuania,FALSE,,Employed,Logistics,,0,3,Less money and time spent on traveling,Time zone difference,Possibility of remote working,Amount of salary,Working Environment,Both,9/12/20 18:37,34m5c1235d1qtjln34m5czpr7d5eny2e
138,23,Female,Denmark,FALSE,,Student,,aarhus University,N/A,N/A,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Possibility of remote working,Office,9/12/20 20:49,m1dco7ktx3a63d1sq8ym1dc3jj23bmrp
139,25,Male,Other,TRUE,Information and Technology,Student,,Se,0,7,Comfortable working environment,Lack of human interaction,Flexible working time models,Reputation,"Additional services (Kindergarten, dogs at work)",Home,9/12/20 22:54,4q107umqa1bwljsf4q107um3u21dw3bt
140,21,Male,Estonia,TRUE,Electrical Engineering,Employed,Electricity transmission,,N/A,6,Flexible working hours,No separation between work and home life,Amount of salary,Working Environment,Flexible working time models,Both,9/13/20 7:10,2zmop9tusah24uruxcl2zmopmml2cynm
141,25,Female,Austria,TRUE,Information and Technology,Employed,Consulting,,1,5,Work-life-balance,Lack of human interaction,Possibility of remote working,Flexible working time models,Reputation,Home,9/13/20 7:41,8d3kkdallt9je8258d3kkddmp1apze94
142,19,Female,France,FALSE,,Student,,INSA Rennes engineering school,N/A,N/A,Positive environmental impact,Lack of human interaction,Flexible working time models,Impact,"Additional services (Kindergarten, dogs at work)",Both,9/13/20 8:10,r555wjtjt0x237ua3r555cfsyag5alq8
143,27,Male,Norway,TRUE,Civil Engineering,Employed,Infrastructure consulting,,N/A,0,Non applicable,Have not worked from home,Amount of salary,Working Environment,Flexible working time models,Office,9/13/20 10:45,mkx21t6j9vw0fnm83mkxky0a0l8gngng
144,27,Male,Germany,FALSE,,Employed,Academia / Research,,1,4,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Both,9/13/20 11:04,msbz6i2tj9hqbd7jmsbr7pyosh8a77hw
145,20,Male,Ireland,TRUE,Mechanical Engineering,Employed,Summer job,,0,N/A,Less money and time spent on traveling,No separation between work and home life,Impact,Impact,Working Environment,Both,9/13/20 11:08,wdca60oqpdm1snre5yuwdcagt6029l44
146,20,Male,Romania,TRUE,Computer Science,Student,,Babes,N/A,5,Flexible working hours,Lack of human interaction,Amount of salary,Flexible working time models,Possibility of remote working,Both,9/13/20 13:18,v4xhy29891tx5wfv4xhy2z8e6ph8qon1
147,27,Female,Germany,FALSE,,Student,,Goethe University,0,3,Work-life-balance,Lack of human interaction,Possibility of remote working,Flexible working time models,Amount of salary,Both,9/13/20 20:09,oejbd83lzvsf0spbg5soejbdm62ghapo
148,25,Male,Romania,TRUE,Mechanical Engineering,Unemployed,,,2,N/A,Flexible working hours,No separation between work and home life,Flexible working time models,Possibility of remote working,Reputation,Office,9/13/20 21:28,utjah7tzf2zudkadgutjah9bcesx17oo
149,20,Male,Belgium,TRUE,Computer Science,Student,,KuLeuven,0,N/A,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Possibility of remote working,Working Environment,Both,9/14/20 13:39,brltaspb961v3qhbrslqhs4b54xwkn79
150,24,Male,Italy,TRUE,Mechanical Engineering,Student,,La Sapienza university of Rome,N/A,N/A,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,9/15/20 6:02,6np7hb3f0viyglyowqk6np7hbdm3c9dx
151,31,Female,United Kingdom,TRUE,Other,Employed,research,,0,6,Flexible working hours,No separation between work and home life,Reputation,Working Environment,Amount of salary,Office,9/15/20 6:28,4m8zux4i8ujl0k12yln4m8zuxa1sawcf
152,35,Female,Romania,FALSE,,Employed,Education,,4,4,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Reputation,Impact,Office,9/15/20 11:48,yomgh6p9jxdwoyomgaj6d6q7g0ivox1d
153,31,Male,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunications,,2,5,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,Working Environment,Amount of salary,Both,9/15/20 21:03,av2s8lbs6uox23zcm1nav2s84qmtid61
154,23,Male,Germany,TRUE,Mechanical Engineering,Student,,TU Dresden,0,5,Work-life-balance,Lack of human interaction,Possibility of remote working,Amount of salary,Flexible working time models,Both,9/16/20 18:03,rntrtowd01ys7jnhhip6iprntrtoaprq
155,21,Female,Germany,TRUE,Aerospace Engineering,Student,,TU Berlin,2,5,Less money and time spent on traveling,Interruption at home,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Amount of salary,Both,9/16/20 18:20,fnuskq58u08l377zmar4jfnusqwez8ax
156,20,Male,Germany,TRUE,Computer Science,Student,,Technical University Munich,N/A,N/A,Flexible working hours,No separation between work and home life,Impact,Amount of salary,Possibility of remote working,Both,,
157,29,Male,Germany,TRUE,Computer Science,Student,,Karlsruhe Institute of Technology,N/A,5,Positive environmental impact,Lack of human interaction,Impact,Amount of salary,Working Environment,Both,,
158,29,Female,Germany,TRUE,Industrial Engineering,Employed,Special machine construction,,1,3,Work-life-balance,Lack of human interaction,Possibility of remote working,Amount of salary,Working Environment,Both,,
159,26,Female,Germany,TRUE,Industrial Engineering,Employed,Automotive,,0,2,Work-life-balance,Lack of human interaction,Amount of salary,Working Environment,Reputation,Both,,
160,45,Male,Germany,TRUE,Automotive Engineering,Employed,Automotive,,0,4,Comfortable working environment,Lack of human interaction,Possibility of remote working,Amount of salary,Flexible working time models,Home,,
161,26,Male,Germany,TRUE,Other,Employed,Research,,0,1,Less money and time spent on traveling,No separation between work and home life,Impact,Amount of salary,Working Environment,Office,,
162,26,Male,Germany,TRUE,Systems Engineering,Employed,Research,,1,3,Less money and time spent on traveling,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,,
163,28,Male,Germany,TRUE,Automotive Engineering,Employed,Automotive,,1,2,Comfortable working environment,Lack of human interaction,Amount of salary,Reputation,Working Environment,Both,,
164,21,Female,Germany,TRUE,Automotive Engineering,Employed,Automotive,,1,3,Flexible working hours,No separation between work and home life,Flexible working time models,Impact,Working Environment,Office,,
165,20,Female,Germany,TRUE,Industrial Engineering,Employed,Automotive industry,,0,3,Comfortable working environment,Bad technical conditions,Working Environment,Amount of salary,Possibility of remote working,Home,,
166,26,Male,Germany,FALSE,,Employed,Automotive,,0,2,Flexible working hours,Lack of human interaction,Flexible working time models,Working Environment,Possibility of remote working,Both,,
167,23,Male,Germany,TRUE,Automotive Engineering,Student,,UAS Karlsruhe,N/A,5,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,,
168,25,Female,Germany,TRUE,Energy Engineering,Employed,Research,,1,2,Comfortable working environment,Lack of human interaction,Working Environment,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Both,,
169,24,Female,Germany,TRUE,Industrial Engineering,Student,,Karlsruhe Institute of Technology,5,7,Less money and time spent on traveling,No separation between work and home life,Impact,Flexible working time models,Working Environment,Both,,
170,26,Male,Germany,TRUE,Mechanical Engineering,Student,,Hochschule Karlsruhe - Technik und Wirtschaft,0,2,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,,
171,35,Female,Other,TRUE,Computer Science,Student,,"Rajiv Gandhi National University of Law, India",0,3,Work-life-balance,"emotional psychological balance, family stability",Amount of salary,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Both,,
172,21,Male,Germany,TRUE,Environmental Engineering,Student,,TU Braunschweig,0,0,Flexible working hours,Interruption at home,Impact,Working Environment,Amount of salary,Office,,
173,37,Male,France,TRUE,Energy Engineering,Employed,R&D,,0,6,Flexible working hours,No separation between work and home life,Impact,Flexible working time models,Working Environment,Both,,
174,24,Male,Germany,FALSE,,Employed,Process Automation,,0,3,Comfortable working environment,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Both,,
175,30,Male,Germany,TRUE,Electrical Engineering,Employed,Process Automation / Modular Production,,2,4,Comfortable working environment,Bad technical conditions,Possibility of remote working,Flexible working time models,Working Environment,Home,,
176,21,Male,Germany,TRUE,Computer Science,Student,,Karlsruher Institut für Technologie,N/A,N/A,Comfortable working environment,Lack of human interaction,Reputation,Working Environment,Impact,Both,,
177,26,Female,Germany,TRUE,Environmental Engineering,Student,,HTWG Konstanz,1,4,Flexible working hours,Lack of human interaction,Working Environment,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Office,,
178,21,Male,Germany,TRUE,Other,Student,,DHBW KARLSRUHE,0,5,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Amount of salary,Impact,Both,,
179,22,Male,Germany,TRUE,Industrial Engineering,Employed,Process Automation,,0,3,Less money and time spent on traveling,No separation between work and home life,Possibility of remote working,Working Environment,Flexible working time models,Office,,
180,19,Male,Germany,TRUE,Mechanical Engineering,Employed,Automotive,,0,3,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Amount of salary,Flexible working time models,Home,,
181,21,Female,Germany,TRUE,Mechanical Engineering,Student,,DHBW Karlsruhe,0,4,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,Working Environment,Amount of salary,Both,,
182,21,Male,Germany,TRUE,Electrical Engineering,Student,,KIT,0,5,Positive environmental impact,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,,
183,24,Male,Germany,TRUE,Environmental Engineering,Student,,Padova university,3,7,Flexible working hours,Interruption at home,Reputation,Working Environment,Amount of salary,Office,,
184,30,Male,Germany,TRUE,Electrical Engineering,Employed,Automation,,0,3,Work-life-balance,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Home,,
185,28,Male,Germany,TRUE,Electrical Engineering,Employed,chemical industry,,0,0,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Office,,
186,21,Female,Germany,TRUE,Industrial Engineering,Student,,TH Nürnberg,0,4,Less money and time spent on traveling,No separation between work and home life,Working Environment,Reputation,Amount of salary,Both,,
187,23,Male,Germany,TRUE,Automotive Engineering,Employed,Automotive,,0,0,Positive environmental impact,Lack of human interaction,Flexible working time models,Working Environment,Impact,Both,,
188,25,Female,Germany,TRUE,Industrial Engineering,Employed,Lebensmittelindustrie,,N/A,1,Flexible working hours,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Both,,
189,23,Male,Germany,TRUE,Computer Science,Student,,Technische Universität Kaiserslautern,N/A,5,Less money and time spent on traveling,No separation between work and home life,Flexible working time models,Working Environment,Impact,Office,,
190,27,Male,Germany,TRUE,Mechanical Engineering,Employed,Research,,0,1,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Impact,Office,,
191,24,Male,Germany,TRUE,Mechanical Engineering,Student,,Hochschule Kaiserslautern,1,5,Flexible working hours,Bad technical conditions,Reputation,Working Environment,Possibility of remote working,Both,,
192,26,Male,Germany,TRUE,Automotive Engineering,Student,,Technische Universität Kaiserslautern,1,N/A,Less money and time spent on traveling,Bad technical conditions,Impact,Reputation,Flexible working time models,Both,,
193,20,Female,Germany,TRUE,Industrial Engineering,Student,,Duale Hochschule Stuttgart,0,4,Flexible working hours,Lack of human interaction,Flexible working time models,Reputation,Amount of salary,Office,,
194,25,Female,Poland,FALSE,,Employed,IT,,0,7,Less money and time spent on traveling,No separation between work and home life,Possibility of remote working,"Additional services (Kindergarten, dogs at work)",Amount of salary,Home,,
195,33,Female,Belgium,TRUE,Environmental Engineering,Employed,mining,,0,2,Flexible working hours,No separation between work and home life,Flexible working time models,Working Environment,Impact,Both,,
196,22,Female,Romania,FALSE,,Student,,Univerity of Bucharest,N/A,N/A,Flexible working hours,No separation between work and home life,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Possibility of remote working,Office,,
197,22,Female,Romania,FALSE,,Student,,Psychology,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Impact,Amount of salary,Both,,
198,24,Male,Sweden,TRUE,Industrial Engineering,Unemployed,,,0,5,Comfortable working environment,Lack of human interaction,Amount of salary,Working Environment,Reputation,Office,,
199,22,Male,Sweden,FALSE,,Student,,Chalmers,2,5,Flexible working hours,No separation between work and home life,Reputation,Impact,Working Environment,Office,,
200,22,Female,Sweden,FALSE,,Student,,Chalmers,N/A,N/A,Flexible working hours,Interruption at home,Working Environment,Flexible working time models,Amount of salary,Both,,
201,21,Male,Sweden,TRUE,Industrial Engineering,Student,,Chalmers University of Technology,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Working Environment,Amount of salary,Both,,
202,21,Male,Sweden,TRUE,Industrial Engineering,Student,,Chalmers University of Technology,0,0,Flexible working hours,Lack of human interaction,Amount of salary,Flexible working time models,Working Environment,Office,,
203,21,Male,Sweden,TRUE,Industrial Engineering,Student,,Chalmers tekniska högskola,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Impact,Office,,
204,21,Female,Sweden,TRUE,Industrial Engineering,Student,,Chalmers,1,6,Positive environmental impact,Lack of human interaction,Impact,Amount of salary,Reputation,Both,,
205,24,Male,Sweden,TRUE,Industrial Engineering,Employed,Iy,,0,5,Positive environmental impact,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
206,25,Male,Sweden,TRUE,Computer Science,Student,,Chalmers university of technology,0,5,Comfortable working environment,No separation between work and home life,Impact,Amount of salary,Working Environment,Both,,
207,23,Male,Norway,TRUE,Mechanical Engineering,Temporary position,,,0,0,Less money and time spent on traveling,Lack of human interaction,Impact,Reputation,Working Environment,Office,,
208,22,Male,Sweden,FALSE,,Student,,Chalmers University of technology,0,4,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Working Environment,Impact,Office,,
209,24,Male,Italy,TRUE,Aerospace Engineering,Student,,polimi,0,4,Comfortable working environment,Lack of human interaction,Amount of salary,Flexible working time models,Reputation,Office,,
210,21,Male,Other,FALSE,,Student,,Southern Taiwan university of technology and science,0,3,Less money and time spent on traveling,Lack of human interaction,Reputation,Working Environment,Amount of salary,Office,,
211,23,Male,Austria,TRUE,Other,Student,,"Sapienza, currently in Erasmus at FH Salzburg",0,5,Comfortable working environment,Lack of human interaction,Impact,Flexible working time models,Working Environment,Both,,
212,20,Female,Spain,FALSE,,Student,,Universitat Autònoma de Barcelona,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,,
213,23,Male,Poland,TRUE,Computer Science,Student,,Warsaw University of Technology,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Impact,Office,,
214,25,Male,Italy,TRUE,Other,Employed,Biomedical,,0,0,No one,Bad technical conditions,Amount of salary,Flexible working time models,Working Environment,Both,,
215,20,Male,Romania,TRUE,Industrial Engineering,Student,,Transilvania University of Brașov,0,3,Comfortable working environment,No separation between work and home life,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Impact,Both,,
216,21,Female,Austria,TRUE,Mechanical Engineering,Student,,Avans hogeschool,0,5,Less money and time spent on traveling,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,,
217,21,Male,Romania,TRUE,Computer Science,Student,,FH Salzburg,0,N/A,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,,
218,24,Male,Finland,FALSE,,Self-employed,,,0,7,Comfortable working environment,Lack of human interaction,Possibility of remote working,Working Environment,Flexible working time models,Office,,
219,20,Female,Austria,FALSE,,Student,,University of Applied Sciences Salzburg,5,2,Work-life-balance,No separation between work and home life,Possibility of remote working,Working Environment,Flexible working time models,Office,,
220,22,Male,Romania,TRUE,Mechanical Engineering,Student,,Lucian Blaga University of Sibiu,N/A,N/A,Flexible working hours,Lack of human interaction,Flexible working time models,Working Environment,"Additional services (Kindergarten, dogs at work)",Both,,
221,23,Male,Norway,TRUE,Mechanical Engineering,Employed,Engineering,,0,0,Less money and time spent on traveling,No separation between work and home life,Working Environment,Reputation,Impact,Office,,
222,19,Male,Romania,TRUE,Computer Science,Student,,Lucian Blaga University,0,7,Flexible working hours,Lack of human interaction,Amount of salary,Amount of salary,Flexible working time models,Both,,
223,18,Male,Romania,FALSE,,Student,,"Universitatea ""Lucian Blaga"" Sibiu",N/A,N/A,Flexible working hours,Lack of human interaction,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Amount of salary,Both,,
224,22,Female,Romania,FALSE,,Employed,sells,,N/A,N/A,Comfortable working environment,No separation between work and home life,Possibility of remote working,Working Environment,Flexible working time models,Both,,
225,21,Male,Romania,TRUE,Automotive Engineering,Student,,Universitatea Lucian Blaga Sibiu,5,3,Work-life-balance,Bad technical conditions,Amount of salary,Amount of salary,Amount of salary,Office,,
226,21,Female,Romania,TRUE,Mechanical Engineering,Student,,University of Lucian Blaga,N/A,N/A,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Working Environment,Office,,
227,25,Male,Austria,TRUE,Computer Science,Employed,IT,,0,5,Less money and time spent on traveling,No separation between work and home life,Amount of salary,Flexible working time models,Working Environment,Both,,
228,23,Male,Germany,FALSE,,Student,,Uni Bremen,0,7,Nothing,Lack of human interaction,Working Environment,Amount of salary,Impact,Office,,
229,20,Male,Romania,TRUE,Automotive Engineering,Student,,Universitatea Lucian Blaga Sibiu,0,0,Work-life-balance,Lack of human interaction,"Additional services (Kindergarten, dogs at work)",Working Environment,Impact,Both,,
230,18,Male,Romania,TRUE,Electrical Engineering,Student,,No,6,3,Work-life-balance,Bad technical conditions,Amount of salary,Possibility of remote working,Amount of salary,Home,,
231,22,Male,Czechia,FALSE,,Student,,Vysoke učení technické v Brně,0,4,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
232,21,Female,Romania,FALSE,,Student,,Lucian Blaga University of Sibiu,N/A,N/A,I don t have a job,I don t have a job,Amount of salary,Working Environment,Flexible working time models,Office,,
233,24,Male,Norway,TRUE,Mechanical Engineering,Employed,Renewable,,N/A,2,Work-life-balance,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
234,24,Female,Italy,FALSE,,Student,,Sapienza,0,4,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Reputation,Office,,
235,31,Male,Romania,TRUE,Mechanical Engineering,Employed,Siemens,,0,0,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Reputation,Office,,
236,20,Female,Romania,TRUE,Mechanical Engineering,Student,,Facultatea de Inginerie Sibiu,0,N/A,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Office,,
237,20,Male,Romania,TRUE,Electrical Engineering,Student,,2,0,0,Less money and time spent on traveling,Interruption at home,Working Environment,Amount of salary,Possibility of remote working,Both,,
238,22,Male,Romania,TRUE,Mechanical Engineering,Student,,ULBS,0,0,Work-life-balance,Lack of human interaction,"Additional services (Kindergarten, dogs at work)",Working Environment,Amount of salary,Both,,
239,22,Male,Poland,TRUE,Information and Technology,Employed,Software development,,0,7,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Flexible working time models,Working Environment,Both,,
240,21,Female,Romania,TRUE,Software Engineering,Student,,Lucian Blaga University of Sibiu,N/A,N/A,Less money and time spent on traveling,No separation between work and home life,Flexible working time models,Amount of salary,Reputation,Office,,
241,20,Male,Austria,FALSE,,Student,,Fb Salzburg,N/A,N/A,Comfortable working environment,Lack of human interaction,Amount of salary,Flexible working time models,Reputation,Office,,
242,27,Female,Austria,TRUE,Computer Science,Employed,real estate industry (propTech),,0,5,Work-life-balance,Lack of human interaction,Impact,Amount of salary,Flexible working time models,Both,,
243,21,Female,Poland,FALSE,,Student,,KEA Copenhagen nad FH Salzburg,0,5,Lessons are recorded,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Both,,
244,20,Female,Romania,TRUE,Other,Student,,ULBS,N/A,N/A,Comfortable working environment,Lack of human interaction,Reputation,Possibility of remote working,Flexible working time models,Home,,
245,31,Male,Austria,TRUE,Electrical Engineering,Employed,University,,0,2,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Impact,Home,,
246,32,Male,Austria,TRUE,Automotive Engineering,Employed,Automotive,,0,5,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
247,30,Male,Austria,TRUE,Electrical Engineering,Employed,R&D,,1,3,Flexible working hours,No separation between work and home life,Amount of salary,Working Environment,Reputation,Office,,
248,28,Female,Austria,TRUE,Biomedicine,Employed,Medical Engineering,,0,3,Positive environmental impact,Lack of human interaction,Working Environment,Impact,Flexible working time models,Home,,
249,27,Male,Austria,TRUE,Biomedicine,Employed,General medical device regulatory,,0,5,Flexible working hours,No separation between work and home life,Amount of salary,Working Environment,Flexible working time models,Both,,
250,28,Female,Austria,TRUE,Software Engineering,Employed,Social service online portal,,0,2,Less money and time spent on traveling,No separation between work and home life,Working Environment,Amount of salary,Impact,Office,,
